dato_str,municipality_id,nedbor_mm
2016-10-28,0217,0.0
2016-10-29,0173,0.0
2016-10-30,0153,1.5
2016-10-30,0657,0.1
2016-11-06,0791,0.0
2016-11-06,0101,0.0
2016-11-04,0561,13.2
2016-11-06,0461,0.2
2016-11-05,0730,12.0
2016-11-04,0751,18.1
2016-11-06,0615,0.1
2016-11-20,0730,2.4
2016-11-20,0461,1.2
2016-11-19,0217,1.5
2016-11-18,0173,1.5
2016-11-20,0540,0.7
2016-11-21,0740,0.0
2016-11-18,0851,2.6
2016-11-27,0561,0.0
2016-11-25,0615,0.4
2016-11-27,0153,0.0
2016-11-28,0657,1.2
2016-11-26,0173,0.0
2016-11-25,0851,0.1
2016-11-26,0791,0.0
2016-12-01,0740,0.0
2016-11-29,0101,0.5
2016-11-29,0751,5.3
2016-11-30,0217,3.3
2016-12-01,0461,0.0
2016-11-29,0540,2.5
2016-11-30,0730,0.9
2016-12-04,0217,0.0
2016-12-04,0657,0.4
2016-12-05,0740,0.3
2016-12-03,0615,0.1
2016-12-03,0101,0.0
2016-12-05,0851,0.0
2016-12-04,0561,0.2
2016-12-10,0173,2.1
2016-12-11,0730,0.0
2016-12-11,0153,0.1
2016-12-09,0615,1.1
2016-12-09,0540,7.0
2016-12-11,0751,0.0
2016-12-12,0791,0.2
2017-02-18,0740,3.2
2017-02-19,0751,0.6
2017-02-19,0101,5.2
2017-02-20,0461,0.0
2017-02-17,0561,0.4
2017-02-17,0217,0.2
2017-02-19,0657,4.9
2017-02-26,0851,6.7
2017-02-26,0217,1.0
2017-02-27,0173,0.7
2017-02-26,0540,1.3
2017-02-24,0730,5.5
2017-02-27,0791,4.2
2017-02-25,0615,2.2
2017-03-06,0461,0.0
2017-03-04,0751,5.7
2017-03-03,0657,3.7
2017-03-05,0740,0.0
2017-03-05,0153,0.0
2017-03-03,0561,1.7
2017-03-05,0101,0.0
2017-03-12,0461,0.0
2017-03-13,0851,0.2
2017-03-10,0217,0.0
2017-03-11,0173,0.0
2017-03-12,0101,0.0
2017-03-12,0615,0.0
2017-03-10,0730,0.0
2017-03-19,0791,8.6
2017-03-19,0657,11.5
2017-03-19,0561,11.8
2017-03-19,0153,10.4
2017-03-19,0751,6.6
2017-03-19,0740,9.4
2017-03-19,0540,11.8
2017-05-12,0851,0.9
2017-05-17,0730,0.1
2017-05-20,0461,0.0
2017-05-29,0730,0.0
2017-06-01,0657,0.0
2017-04-02,0153,0.0
2017-04-03,0540,0.0
2017-03-31,0217,0.0
2017-04-09,0101,0.1
2017-04-09,0657,0.0
2017-04-09,0173,0.0
2017-04-17,0153,0.0
2017-04-16,0173,0.0
2017-04-14,0540,6.8
2017-04-23,0101,3.8
2017-04-23,0217,8.1
2017-04-21,0540,0.3
2017-04-30,0153,0.0
2017-04-30,0101,0.0
2017-04-29,0657,0.0
2017-05-07,0173,0.6
2017-05-07,0657,0.0
2017-05-05,0217,0.0
2017-05-12,0173,0.0
2017-05-14,0101,0.0
2017-05-12,0540,2.6
2017-05-18,0153,0.0
2017-05-16,0217,0.2
2017-05-17,0657,0.0
2017-05-21,0540,0.0
2017-05-21,0173,0.0
2017-05-20,0217,0.0
2017-05-28,0153,0.0
2017-05-28,0101,0.0
2017-05-28,0657,0.0
2017-03-31,0615,0.6
2017-04-02,0561,0.0
2017-04-07,0730,0.0
2017-04-07,0461,0.0
2017-04-18,0461,0.1
2017-04-15,0561,1.6
2017-04-23,0730,7.8
2017-04-22,0615,0.0
2017-04-28,0730,2.2
2017-04-28,0461,0.4
2017-05-08,0615,0.3
2017-04-01,0740,0.0
2017-04-02,0791,0.0
2017-04-08,0851,0.0
2017-04-10,0751,2.1
2017-04-17,0851,1.4
2017-04-17,0791,0.6
2017-04-21,0740,0.1
2017-04-24,0751,3.0
2017-05-01,0740,0.0
2017-04-30,0791,0.0
2017-05-07,0851,0.0
2017-05-07,0751,0.0
2017-05-08,0561,1.1
2017-05-16,0740,0.9
2017-05-13,0461,3.9
2017-07-14,0751,0.0
2017-07-16,0153,0.0
2017-07-16,0173,0.0
2017-07-15,0101,3.9
2017-07-16,0846,0.0
2017-07-17,0461,0.0
2017-07-15,0540,4.4
2017-07-23,0851,3.0
2017-07-21,0751,0.5
2017-07-24,0217,0.0
2017-07-23,0615,0.3
2017-07-23,0657,0.1
2017-07-23,0217,3.2
2017-07-22,0730,21.2
2017-07-30,0153,0.8
2017-07-30,0657,3.2
2017-07-30,0217,1.8
2017-07-31,0740,7.5
2017-07-28,0540,3.7
2017-07-29,0101,10.0
2017-07-29,0461,9.3
2017-08-06,0153,0.0
2017-08-06,0217,0.0
2017-08-05,0846,0.4
2017-08-04,0615,1.8
2017-08-06,0173,0.0
2017-08-06,0461,0.0
2017-08-07,0540,7.3
2017-08-14,0851,17.9
2017-08-13,0751,0.0
2017-08-12,0173,0.2
2017-08-13,0657,0.0
